*-------------------------------------------------------------*
* Name:                                                       *
*     MIB_DESC DATA                                           *
*                                                             *
* Copyright:                                                  *
*  Licensed Materials -- Property of IBM                      *
*  This product contains "Restricted Materials of IBM"        *
*  5735-FAL (C) Copyright IBM Corporation 1992.               *
*  5655-HAL (C) Copyright IBM Corporation 1992, 1994.         *
*  All rights reserved.                                       *
*  US Government Users Restricted Rights -                    *
*  Use, duplication or disclosure restricted by GSA ADP       *
*  Schedule Contract with IBM Corp.                           *
*  See IBM Copyright Instructions.                            *
*                                                             *
* Function:                                                   *
*     Defines MIB variables for SNMP                          *
*                                                             *
* Notes:                                                      *
*     - MIB variables as listed in RFC 1066                   *
*     - MIB variables as listed draft MIB II                  *
*     - IBM entreprise variables in Research tree             *
*     - $01 add variables for Remote Ping                     *
*-------------------------------------------------------------*
* MIB Variable name | ASN.1 notation        | Type     | TTL  *
ipRouteMask             1.3.6.1.2.1.4.21.1.11.  internet        1
ipRouteIfIndex          1.3.6.1.2.1.4.21.1.2.   number          10
ipRouteMetric1          1.3.6.1.2.1.4.21.1.3.   number          10
ipRouteMetric2          1.3.6.1.2.1.4.21.1.4.   number          10
ipRouteMetric3          1.3.6.1.2.1.4.21.1.5.   number          10
ipRouteMetric4          1.3.6.1.2.1.4.21.1.6.   number          10
ipRouteNextHop          1.3.6.1.2.1.4.21.1.7.   internet        10
ipRouteType             1.3.6.1.2.1.4.21.1.8.   number          10
ipRouteProto            1.3.6.1.2.1.4.21.1.9.   number          10
ipNetToMediaIfIndex     1.3.6.1.2.1.4.22.1.1.   number          10
ipNetToMediaPhysAddress 1.3.6.1.2.1.4.22.1.2.   string          10
ipNetToMediaNetAddress  1.3.6.1.2.1.4.22.1.3.   internet        10
ipNetToMediaType        1.3.6.1.2.1.4.22.1.4.   number          10
ipInReceives            1.3.6.1.2.1.4.3.        counter         1
ipInHdrErrors           1.3.6.1.2.1.4.4.        counter         1
ipInAddrErrors          1.3.6.1.2.1.4.5.        counter         1
ipForwDatagrams         1.3.6.1.2.1.4.6.        counter         1
ipInUnknownProtos       1.3.6.1.2.1.4.7.        counter         1
ipInDiscards            1.3.6.1.2.1.4.8.        counter         1
ipInDelivers            1.3.6.1.2.1.4.9.        counter         1
icmp                    1.3.6.1.2.1.5.          table           0
icmp_group              1.3.6.1.2.1.5.          table           0
icmpInMsgs              1.3.6.1.2.1.5.1.        counter         1
icmpInErrors            1.3.6.1.2.1.5.2.        counter         1
icmpInDestUnreachs      1.3.6.1.2.1.5.3.        counter         1
icmpInTimeExcds         1.3.6.1.2.1.5.4.        counter         1
icmpInParmProbs         1.3.6.1.2.1.5.5.        counter         1
icmpInSrcQuenchs        1.3.6.1.2.1.5.6.        counter         1
icmpInRedirects         1.3.6.1.2.1.5.7.        counter         1
icmpInEchos             1.3.6.1.2.1.5.8.        counter         1
icmpInEchoReps          1.3.6.1.2.1.5.9.        counter         1
icmpInTimestamps        1.3.6.1.2.1.5.10.       counter         1
icmpInTimestampReps     1.3.6.1.2.1.5.11.       counter         1
icmpInAddrMasks         1.3.6.1.2.1.5.12.       counter         1
icmpInAddrMaskReps      1.3.6.1.2.1.5.13.       counter         1
icmpOutMsgs             1.3.6.1.2.1.5.14.       counter         1
icmpOutErrors           1.3.6.1.2.1.5.15.       counter         1
icmpOutDestUnreachs     1.3.6.1.2.1.5.16.       counter         1
icmpOutTimeExcds        1.3.6.1.2.1.5.17.       counter         1
icmpOutParmProbs        1.3.6.1.2.1.5.18.       counter         1
icmpOutSrcQuenchs       1.3.6.1.2.1.5.19.       counter         1
icmpOutRedirects        1.3.6.1.2.1.5.20.       counter         1
icmpOutEchos            1.3.6.1.2.1.5.21.       counter         1
icmpOutEchoReps         1.3.6.1.2.1.5.22.       counter         1
icmpOutTimestamps       1.3.6.1.2.1.5.23.       counter         1
icmpOutTimestampReps    1.3.6.1.2.1.5.24.       counter         1
icmpOutAddrMasks        1.3.6.1.2.1.5.25.       counter         1
icmpOutAddrMaskReps     1.3.6.1.2.1.5.26.       counter         1
tcp                     1.3.6.1.2.1.6.          table           0
tcp_group               1.3.6.1.2.1.6.          table           0
tcpRtoAlgorithm         1.3.6.1.2.1.6.1.        number          900
tcpRtoMin               1.3.6.1.2.1.6.2.        number          900
tcpRtoMax               1.3.6.1.2.1.6.3.        number          900
tcpMaxConn              1.3.6.1.2.1.6.4.        number          900
tcpActiveOpens          1.3.6.1.2.1.6.5.        counter         900
tcpPassiveOpens         1.3.6.1.2.1.6.6.        counter         1
tcpAttemptFails         1.3.6.1.2.1.6.7.        counter         1
tcpEstabResets          1.3.6.1.2.1.6.8.        counter         1
tcpCurrEstab            1.3.6.1.2.1.6.9.        gauge           1
tcpInSegs               1.3.6.1.2.1.6.10.       counter         1
tcpOutSegs              1.3.6.1.2.1.6.11.       counter         1
tcpRetransSegs          1.3.6.1.2.1.6.12.       counter         1
tcpConnState            1.3.6.1.2.1.6.13.1.1.   number          1
tcpConnLocalAddress     1.3.6.1.2.1.6.13.1.2.   internet        1
tcpConnLocalPort        1.3.6.1.2.1.6.13.1.3.   number          1
tcpConnRemAddress       1.3.6.1.2.1.6.13.1.4.   internet        1
tcpConnRemPort          1.3.6.1.2.1.6.13.1.5.   number          1
tcpInErrs               1.3.6.1.2.1.6.14.       counter         1
tcpOutRsts              1.3.6.1.2.1.6.15.       counter         1
udp                     1.3.6.1.2.1.7.          table           0
udp_group               1.3.6.1.2.1.7.          table           0
udpInDatagrams          1.3.6.1.2.1.7.1.        counter         1
udpNoPorts              1.3.6.1.2.1.7.2.        counter         1
udpInErrors             1.3.6.1.2.1.7.3.        counter         1
udpOutDatagrams         1.3.6.1.2.1.7.4.        counter         1
udpLocalAddress         1.3.6.1.2.1.7.5.1.1.    internet        1
udpLocalPort            1.3.6.1.2.1.7.5.1.2.    number          1
egp                     1.3.6.1.2.1.8.          table           0
egp_group               1.3.6.1.2.1.8.          table           0
egpInMsgs               1.3.6.1.2.1.8.1.        counter         10
egpInErrors             1.3.6.1.2.1.8.2.        counter         10
egpOutMsgs              1.3.6.1.2.1.8.3.        counter         10
egpOutErrors            1.3.6.1.2.1.8.4.        counter         10
egpNeighState           1.3.6.1.2.1.8.5.1.1.    number          10
egpNeighAddr            1.3.6.1.2.1.8.5.1.2.    internet        10
egpNeighAs              1.3.6.1.2.1.8.5.1.3.    number          10
egpNeighInMsgs          1.3.6.1.2.1.8.5.1.4.    counter         10
egpNeighInErrs          1.3.6.1.2.1.8.5.1.5.    counter         10
egpNeighOutMsgs         1.3.6.1.2.1.8.5.1.6.    counter         10
egpNeighOutErrs         1.3.6.1.2.1.8.5.1.7.    counter         10
egpNeighInErrMsgs       1.3.6.1.2.1.8.5.1.8.    counter         10
egpNeighOutErrMsgs      1.3.6.1.2.1.8.5.1.9.    counter         10
egpNeighStateUps        1.3.6.1.2.1.8.5.1.10.   counter         10
egpNeighStateDowns      1.3.6.1.2.1.8.5.1.11.   counter         10
egpNeighIntervalHello   1.3.6.1.2.1.8.5.1.12.   number          10
egpNeighIntervalPoll    1.3.6.1.2.1.8.5.1.13.   number          10
egpNeighMode            1.3.6.1.2.1.8.5.1.14.   number          10
egpNeighEventTrigger    1.3.6.1.2.1.8.5.1.15.   number          10
egpAs                   1.3.6.1.2.1.8.6.        number          900
snmp                    1.3.6.1.2.1.11.         table           0
snmp_group              1.3.6.1.2.1.11.         table           0
snmpInPkts              1.3.6.1.2.1.11.1.       counter         1
snmpOutPkts             1.3.6.1.2.1.11.2.       counter         1
snmpInBadVersions       1.3.6.1.2.1.11.3.       counter         1
snmpInBadCommunityNames 1.3.6.1.2.1.11.4.       counter         1
snmpInBadCommunityUses  1.3.6.1.2.1.11.5.       counter         1
snmpInASNParseErrs      1.3.6.1.2.1.11.6.       counter         1
snmpInBadTypes          1.3.6.1.2.1.11.7.       counter         1
snmpInTooBigs           1.3.6.1.2.1.11.8.       counter         1
snmpInNoSuchNames       1.3.6.1.2.1.11.9.       counter         1
snmpInBadValues         1.3.6.1.2.1.11.10.      counter         1
snmpInReadOnlys         1.3.6.1.2.1.11.11.      counter         1
snmpInGenErrs           1.3.6.1.2.1.11.12.      counter         1
snmpInTotalReqVars      1.3.6.1.2.1.11.13.      counter         1
snmpInTotalSetVars      1.3.6.1.2.1.11.14.      counter         1
snmpInGetRequests       1.3.6.1.2.1.11.15.      counter         1
snmpInGetNexts          1.3.6.1.2.1.11.16.      counter         1
snmpInSetRequests       1.3.6.1.2.1.11.17.      counter         1
snmpInGetResponses      1.3.6.1.2.1.11.18.      counter         1
snmpInTraps             1.3.6.1.2.1.11.19.      counter         1
snmpOutTooBigs          1.3.6.1.2.1.11.20.      counter         1
snmpOutNoSuchNames      1.3.6.1.2.1.11.21.      counter         1
snmpOutBadValues        1.3.6.1.2.1.11.22.      counter         1
snmpOutReadOnlys        1.3.6.1.2.1.11.23.      counter         1
snmpOutGenErrs          1.3.6.1.2.1.11.24.      counter         1
snmpOutGetRequests      1.3.6.1.2.1.11.25.      counter         1
snmpOutGetNexts         1.3.6.1.2.1.11.26.      counter         1
snmpOutSetRequests      1.3.6.1.2.1.11.27.      counter         1
snmpOutGetResponses     1.3.6.1.2.1.11.28.      counter         1
snmpOutTraps            1.3.6.1.2.1.11.29.      counter         1
snmpEnableAuthTraps     1.3.6.1.2.1.11.30.      number          10
* IBM Research tree
ibmResearch             1.3.6.1.4.1.2.2.        table           0
* IBM SNMP agent DPI TCP port
DPI_port                1.3.6.1.4.1.2.2.1.1.    number          2
* this name is a better one. DPI_port left for compatibility.
dpiPort                 1.3.6.1.4.1.2.2.1.1.    number          2
* IBM "ping" round-trip-time table
RTTaddr                 1.3.6.1.4.1.2.2.1.3.1.  internet        60
minRTT                  1.3.6.1.4.1.2.2.1.3.2.  number          60
maxRTT                  1.3.6.1.4.1.2.2.1.3.3.  number          60
aveRTT                  1.3.6.1.4.1.2.2.1.3.4.  number          60
RTTtries                1.3.6.1.4.1.2.2.1.3.5.  number          60
RTTresponses            1.3.6.1.4.1.2.2.1.3.6.  number          60
# DPISAMPLE.C supports these variables as an SNMP DPI sample sub-agent
# it also generates enterprise specific traps via DPI with these objects
dpiSample                1.3.6.1.4.1.2.2.1.4.     table          0
dpiSampleNumber          1.3.6.1.4.1.2.2.1.4.1.   number         10
# next one is to be able to send a badValue with a SET request
dpiSampleNumberString    1.3.6.1.4.1.2.2.1.4.1.1. string         10
dpiSampleOctetString     1.3.6.1.4.1.2.2.1.4.2.   string         10
dpiSampleObjectID        1.3.6.1.4.1.2.2.1.4.3.   object         10
# XGMON/SQESERV does not allow to specify empty (so use empty string)
dpiSampleEmpty           1.3.6.1.4.1.2.2.1.4.4.   string         10
dpiSampleInetAddress     1.3.6.1.4.1.2.2.1.4.5.   internet       10
dpiSampleCounter         1.3.6.1.4.1.2.2.1.4.6.   counter        10
dpiSampleGauge           1.3.6.1.4.1.2.2.1.4.7.   gauge          10
dpiSampleTimeTicks       1.3.6.1.4.1.2.2.1.4.8.   ticks          10
dpiSampleDisplayString   1.3.6.1.4.1.2.2.1.4.9.   display        10
dpiSampleCommand         1.3.6.1.4.1.2.2.1.4.10.  display        1
# XGMON display element override
deOverride         1.3.6.1.4.1.2.2.1.5.1.       display        1
NVcmd              1.3.6.1.4.1.2.2.1.5.2.       display        1
NVreply            1.3.6.1.4.1.2.2.1.5.3.       display        10
NVmsgop            1.3.6.1.4.1.2.2.1.5.4.       display        1
test               1.3.6.1.9.1.                 display        10
**   IBM 3172 Enterprise specific variables **
ibm3172Descr             1.3.6.1.4.1.2.6.1.1.1.1.  display      900
ibm3172Contact           1.3.6.1.4.1.2.6.1.1.1.2.  display      900
ibm3172Location          1.3.6.1.4.1.2.6.1.1.1.3.  display      900
ibm3172ifNumber          1.3.6.1.4.1.2.6.1.1.1.4.  number         1
ibm3172ifTrapEnable      1.3.6.1.4.1.2.6.1.2.1.1.  number         1
ibm3172ifInChanOctets    1.3.6.1.4.1.2.6.1.3.1.1.  counter        1
ibm3172ifOutChanOctets   1.3.6.1.4.1.2.6.1.3.1.2.  counter        1
ibm3172ifInChanBlocks    1.3.6.1.4.1.2.6.1.3.1.3.  counter        1
ibm3172ifOutChanBlocks   1.3.6.1.4.1.2.6.1.3.1.4.  counter        1
ibm3172ifInLANOctets     1.3.6.1.4.1.2.6.1.4.1.1.  counter        1
ibm3172ifOutLANOctets    1.3.6.1.4.1.2.6.1.4.1.2.  counter        1
ibm3172ifInLANFrames     1.3.6.1.4.1.2.6.1.4.1.3.  counter        1
ibm3172ifOutLANFrames    1.3.6.1.4.1.2.6.1.4.1.4.  counter        1
ibm3172ifInLANErrors     1.3.6.1.4.1.2.6.1.4.1.5.  counter        1
ibm3172ifOutLANErrors    1.3.6.1.4.1.2.6.1.4.1.6.  counter        1
ibm3172ifInLANDiscards   1.3.6.1.4.1.2.6.1.4.1.7.  counter        1
ibm3172ifOutLANDiscards  1.3.6.1.4.1.2.6.1.4.1.8.  counter        1
ibm3172ifBlkRcvOctets    1.3.6.1.4.1.2.6.1.5.1.1.  counter        1
ibm3172ifBlkXmitOctets   1.3.6.1.4.1.2.6.1.5.1.2.  counter        1
ibm3172ifBlkRcvFrames    1.3.6.1.4.1.2.6.1.5.1.3.  counter        1
ibm3172ifBlkXmitBlocks   1.3.6.1.4.1.2.6.1.5.1.4.  counter        1
ibm3172ifInBlkErrors     1.3.6.1.4.1.2.6.1.5.1.5.  counter        1
ibm3172ifInBlkDiscards   1.3.6.1.4.1.2.6.1.5.1.6.  counter        1
ibm3172ifDblkRcvOctets   1.3.6.1.4.1.2.6.1.6.1.1.  counter        1
ibm3172ifDblkXmitOctets  1.3.6.1.4.1.2.6.1.6.1.2.  counter        1
ibm3172ifDblkRcvBlocks   1.3.6.1.4.1.2.6.1.6.1.3.  counter        1
ibm3172ifDblkXmitFrames  1.3.6.1.4.1.2.6.1.6.1.4.  counter        1
ibm3172ifOutDblkErrors   1.3.6.1.4.1.2.6.1.6.1.5.  counter        1
ibm3172ifOutDblkDiscards 1.3.6.1.4.1.2.6.1.6.1.6.  counter        1
ibm3172ifDeviceNumber    1.3.6.1.4.1.2.6.1.7.1.1.  counter        1
** $01A add Remote Ping variable(s):        **
**      allow  access via netview variable  **
**      or the suggested snmp variable      **
netView6000SubAgent      1.3.6.1.4.1.2.6.4.      table            0
nv6saIcmp                1.3.6.1.4.1.2.6.4.3.    table            0
nv6saIcmpEchoReq         1.3.6.1.4.1.2.6.4.3.1.  number           1
mvsSNMPagent             1.3.6.1.4.1.2.6.19.     table            0
ibmSNMPRemPing           1.3.6.1.4.1.2.6.19.1.   number           1
